Number,Team,Player,Minute,Result,xG,x,y
1,Home,Brison,13,Goal,0.23,91.8,44.9
2,Home,Odei,5,Blocked,0.02,84.9,31
3,Home,Yasir,12,Blocked,0.02,74.8,44.5
4,Home,Guarrotxena,38,Saved,0.03,75.1,45.2
5,Away,Vishnu,50,Blocked,0.03,75.4,44.3
6,Away,Celis,52,Saved,0.11,96.9,60.3
7,Away,Celis,55,Blocked,0.02,80.5,68.7
8,Away,Nishu,61,Blocked,0.04,85,28.6
9,Away,Celis,67,Saved,0.26,91.7,55.5
10,Away,Celis,68,Saved,0.09,90.3,45.5
11,Home,Guarrotxena,78,Blocked,0.18,87.5,45.9
12,Home,Jhingan,79,Saved,0.06,88.6,60.8
13,Away,Mahesh,79,Saved,0.15,89.2,60.6
14,Away,Diamantakos,82,Saved,0.04,88.4,50.1
15,Home,Sadiku,85,Blocked,0.22,89.1,48.5
16,Away,Celis,87,Blocked,0.05,79.8,40.1
17,Away,Chungnunga,88,Saved,0.02,61,34
18,Away,Vishnu,4,Missed,0.01,72.3,23.9
19,Away,Celis,21,Missed,0.01,70.1,81.5
20,Away,Jeakson,37,Missed,0.03,76,35.7
21,Home,Sadiku,75,Missed,0.55,92.6,51.8
22,Home,Guarrotxena,35,Woodwork,0.02,71.4,49.7
