Player,x,y,end_x,end_y,outcome
S. Jhingan,34.1,67.5,38.4,86,1
S. Jhingan,36.4,61.5,35.1,39.5,1
S. Jhingan,36.5,57.8,40.1,80.2,1
S. Jhingan,29.4,68.2,31.4,32.4,1
S. Jhingan,33.9,61.4,34.4,36.4,1
S. Jhingan,34.3,65.1,53.5,88.3,1
S. Jhingan,34.7,56.6,43.1,79.4,1
S. Jhingan,43.5,72.7,91,91.4,1
S. Jhingan,21.6,66.3,34.9,66,1
S. Jhingan,33.8,64.9,32.4,35.1,1
S. Jhingan,38.8,77.9,38,34.8,1
S. Jhingan,40.8,65.1,45.6,85.1,1
S. Jhingan,36.6,63.3,45.9,51.5,1
S. Jhingan,26.8,63.3,41,81.1,1
S. Jhingan,28.1,62,51.3,75.6,1
S. Jhingan,38.1,57.8,62.7,71.7,1
S. Jhingan,20.6,63,26.6,89.6,1
S. Jhingan,23.1,67.8,25.1,38.5,1
S. Jhingan,30.3,63,35.2,85,1
S. Jhingan,35.7,66.6,67.2,73,1
S. Jhingan,34.2,74.2,48.6,62,1
S. Jhingan,28,63.7,29.7,37.4,1
S. Jhingan,35.2,62.6,45.7,84.4,1
S. Jhingan,36.4,67.6,32.3,34.2,1
S. Jhingan,32.8,60.5,39.3,80.3,1
S. Jhingan,31.1,70.3,45.8,92.3,1
S. Jhingan,53,68.8,51.9,83.6,1
S. Jhingan,36.7,62.1,34.7,35.4,1
S. Jhingan,34.9,63.7,44,80.2,1
S. Jhingan,34.4,59.9,44.8,47.8,1
S. Jhingan,37.5,62.4,42,88.3,1
S. Jhingan,31.9,67.3,31.9,33.6,1
S. Jhingan,34.9,64.6,42.2,84.7,1
S. Jhingan,31.4,65.5,32.4,37.1,1
S. Jhingan,36.6,58.1,74.8,44.7,1
S. Jhingan,26.8,62.6,38.8,79.9,1
S. Jhingan,32.4,59.7,32.2,36.4,1
S. Jhingan,37.7,49.1,44.8,67.3,1
S. Jhingan,39.2,63.4,35.1,33.9,1
S. Jhingan,32.8,60.2,46,65.1,1
S. Jhingan,33,61.4,42.8,67.3,1
S. Jhingan,33.2,51.3,29.5,27.6,1
S. Jhingan,35.6,54,33.9,34.3,1
S. Jhingan,34.8,57.5,40.7,79.6,1
S. Jhingan,30.2,64.5,55.9,87.1,1
S. Jhingan,35.9,82.6,42,90.3,1
S. Jhingan,32.4,68.5,31.6,38.6,1
S. Jhingan,34.7,59.6,37.1,77.3,1
S. Jhingan,28.8,60.9,33.8,80.8,1
S. Jhingan,21.3,66.3,26.6,81.5,1
S. Jhingan,27,70.3,27.4,33.7,1
S. Jhingan,27.1,60.8,33.7,80.6,1
S. Jhingan,52,57.5,57.2,71.4,1
S. Jhingan,29.4,70.2,32.5,85.1,1
S. Jhingan,32.6,59,31,34.6,1
S. Jhingan,31.2,61.5,46.4,63.4,1
S. Jhingan,36.3,63.9,39,86,1
S. Jhingan,31.5,46.4,29.8,27.3,1
S. Jhingan,30.6,76.3,44.9,75.1,1
S. Jhingan,34.5,70.9,39.7,75.9,1
S. Jhingan,26.4,51.8,45.7,96.3,1
S. Jhingan,47.3,74.7,18.7,50.7,1
S. Jhingan,29.9,81.2,23.6,54,1
S. Jhingan,39.4,76.4,47.8,64.5,1
S. Jhingan,37.1,62.7,34.4,39.8,1
S. Jhingan,46.7,50.4,53.9,67.2,1
S. Jhingan,46.9,50.3,45.5,71.8,1
S. Jhingan,29.4,77.6,28.3,89.4,1
